maturity,moneyness,price,strike,type,forward
0.3561643835616438,0.8693342348651324,0.07775,1800.0,P,2070.55
0.3561643835616438,0.9176305812465286,0.134,1900.0,P,2070.55
0.3561643835616438,0.9659269276279249,0.18,2000.0,P,2070.55
0.3561643835616438,1.014223274009321,0.144,2100.0,C,2070.55
0.3561643835616438,1.0625196203907175,0.093,2200.0,C,2070.55
0.3561643835616438,1.1108159667721136,0.10325,2300.0,C,2070.55
0.3561643835616438,1.15911231315351,0.09075,2400.0,C,2070.55
0.3561643835616438,1.2557050059163024,0.2,2600.0,C,2070.55
0.3561643835616438,1.3522976986790949,0.0555,2800.0,C,2070.55
0.3561643835616438,1.4488903914418874,0.04475,3000.0,C,2070.55
0.3561643835616438,1.9318538552558497,0.0195,4000.0,C,2070.55
